max_car_agents,tolerance,green_light_duration,Run,average_congestion
197,0,4,207.0,59.51317281059043
155,0,3,208.0,61.473675339822215
62,0,3,209.0,59.51317281059043
155,0,3,210.0,59.306778427108284
155,0,2,211.0,59.51317281059043
155,0,2,212.0,59.51317281059043
62,0,2,213.0,59.51317281059043
62,0,3,214.0,59.862198465218434
62,0,2,215.0,61.473675339822215
65,0,6,216.0,59.862198465218434
152,0,6,217.0,59.306778427108284
65,0,6,218.0,59.306778427108284
65,0,5,219.0,59.306778427108284
65,0,5,220.0,59.862198465218434
152,0,5,221.0,59.51317281059043
152,0,6,222.0,59.306778427108284
152,0,5,223.0,59.306778427108284
87,0,6,224.0,59.51317281059043
130,0,6,225.0,59.306778427108284
87,0,6,226.0,59.51317281059043
87,0,7,227.0,61.473675339822215
87,0,7,228.0,59.51317281059043
130,0,7,229.0,59.862198465218434
130,0,6,230.0,59.306778427108284
130,0,7,231.0,59.306778427108284
177,0,3,232.0,61.473675339822215
40,0,3,233.0,59.862198465218434
177,0,3,234.0,61.473675339822215
177,0,4,235.0,61.473675339822215
177,0,4,236.0,61.473675339822215
40,0,4,237.0,59.306778427108284
40,0,3,238.0,59.51317281059043
40,0,4,239.0,59.306778427108284
132,0,5,240.0,59.862198465218434
175,0,5,241.0,61.473675339822215
132,0,5,242.0,59.306778427108284
132,0,3,243.0,59.51317281059043
132,0,3,244.0,59.51317281059043
175,0,3,245.0,59.51317281059043
175,0,5,246.0,59.51317281059043
175,0,3,247.0,59.51317281059043
42,0,2,248.0,59.306778427108284
85,0,2,249.0,61.473675339822215
42,0,2,250.0,59.51317281059043
42,0,6,251.0,59.306778427108284
42,0,6,252.0,59.51317281059043
85,0,6,253.0,59.862198465218434
85,0,2,254.0,59.306778427108284
85,0,6,255.0,59.862198465218434
54,0,5,256.0,59.51317281059043
28,0,5,257.0,61.473675339822215
54,0,5,258.0,59.51317281059043
54,0,5,259.0,61.473675339822215
54,0,5,260.0,59.51317281059043
28,0,5,261.0,61.473675339822215
28,0,5,262.0,59.51317281059043
28,0,5,263.0,61.473675339822215
144,0,2,264.0,59.862198465218434
118,0,2,265.0,59.51317281059043
144,0,2,266.0,59.306778427108284
144,0,2,267.0,59.51317281059043
144,0,2,268.0,61.473675339822215
118,0,2,269.0,59.306778427108284
118,0,2,270.0,59.306778427108284
118,0,2,271.0,59.51317281059043
189,0,6,272.0,59.51317281059043
73,0,6,273.0,59.306778427108284
189,0,6,274.0,59.306778427108284
189,0,3,275.0,59.306778427108284
189,0,3,276.0,59.51317281059043
73,0,3,277.0,59.862198465218434
73,0,6,278.0,61.473675339822215
73,0,3,279.0,59.306778427108284
99,0,3,280.0,59.862198465218434
163,0,3,281.0,59.862198465218434
99,0,3,282.0,61.473675339822215
99,0,6,283.0,59.51317281059043
99,0,6,284.0,59.306778427108284
163,0,6,285.0,59.51317281059043
163,0,3,286.0,59.51317281059043
163,0,6,287.0,59.306778427108284
76,0,2,288.0,59.862198465218434
186,0,2,289.0,59.862198465218434
76,0,2,290.0,59.51317281059043
76,0,5,291.0,59.51317281059043
76,0,5,292.0,59.306778427108284
186,0,5,293.0,59.51317281059043
186,0,2,294.0,59.51317281059043
186,0,5,295.0,59.51317281059043
166,0,5,296.0,59.306778427108284
96,0,5,297.0,59.51317281059043
166,0,5,298.0,59.51317281059043
166,0,2,299.0,59.306778427108284
166,0,2,300.0,59.51317281059043
96,0,2,301.0,59.51317281059043
96,0,5,302.0,59.51317281059043
96,0,2,303.0,59.51317281059043
121,0,4,304.0,59.51317281059043
141,0,4,305.0,59.51317281059043
121,0,4,306.0,59.862198465218434
121,0,4,307.0,59.306778427108284
121,0,4,308.0,59.306778427108284
141,0,4,309.0,59.51317281059043
141,0,4,310.0,59.51317281059043
141,0,4,311.0,59.51317281059043
31,0,7,312.0,59.862198465218434
51,0,7,313.0,59.306778427108284
31,0,7,314.0,59.51317281059043
31,0,7,315.0,61.473675339822215
31,0,7,316.0,59.306778427108284
51,0,7,317.0,59.51317281059043
51,0,7,318.0,59.51317281059043
51,0,7,319.0,59.306778427108284
37,0,2,320.0,59.862198465218434
169,0,2,321.0,59.862198465218434
37,0,2,322.0,59.306778427108284
37,0,2,323.0,59.51317281059043
37,0,2,324.0,61.473675339822215
169,0,2,325.0,61.473675339822215
169,0,2,326.0,59.862198465218434
169,0,2,327.0,59.862198465218434
127,0,5,328.0,61.473675339822215
79,0,5,329.0,59.306778427108284
127,0,5,330.0,61.473675339822215
127,0,5,331.0,59.306778427108284
127,0,5,332.0,61.473675339822215
79,0,5,333.0,59.862198465218434
79,0,5,334.0,59.862198465218434
79,0,5,335.0,59.306778427108284
172,0,3,336.0,59.306778427108284
124,0,3,337.0,59.862198465218434
172,0,3,338.0,59.51317281059043
172,0,7,339.0,59.51317281059043
172,0,7,340.0,59.306778427108284
124,0,7,341.0,59.862198465218434
